filename,character,dialogue,scene
S10E13 Joey Speaks French.txt,All,Hey! Hi!,2
S09E15 The Mugging.txt,All,"Hey, hey!",81
S09E15 The Mugging.txt,All,Hey!,108
S05E17 Rachels Inadvertant Kiss.txt,All,"Congratulations! Ohh, that's great!",2
S09E21 The Fertility Test.txt,All,Hi!,5
S01E15 The Stoned Guy.txt,All,Hey!,12
S01E15 The Stoned Guy.txt,All,What is it?,12
S01E15 The Stoned Guy.txt,All,That's great!,12
S01E15 The Stoned Guy.txt,All,Why?,12
S02E23 The Chicken Pox.txt,All,Oh no.,12
S01E07 The Blackout.txt,All,Whoooaa!,30
S01E07 The Blackout.txt,All,No way!,30
S01E07 The Blackout.txt,All,Come on.,30
S05E09 Rosss Sandwich.txt,All,Whoa! Ohh!!,24
S05E09 Rosss Sandwich.txt,All,A test?!!,84
S07E23 Chandler And Monicas Wedding.txt,All,To the Bings!,58
S01E09 Underdog Gets Away.txt,All,That's so sweet.,68
S06E14 Chandler Cant Cry.txt,All,What?!!,37
S03E03 The Jam.txt,All,"Hey, Phoebe.",29
S03E03 The Jam.txt,All,Hey Mon.,32
S03E03 The Jam.txt,All,Hey.,48
S01E10 The Monkey.txt,All,Oooh!,3
S01E10 The Monkey.txt,All,"Hey, Joey. Hey, buddy.",6
S01E10 The Monkey.txt,All,"Yeah, okay. Alright.",7
S01E10 The Monkey.txt,All,Woooo! Yeah!,7
S08E13 Chandler Takes A Bath.txt,All,"Oh, wow! Yay! Wow! Hooray! Oh, man!",52
S01E04 George Stephanopoulos.txt,All,"Hey Joey. Hi. Hey, buddy.",3
S01E04 George Stephanopoulos.txt,All,Oh! Yeah!,14
S01E04 George Stephanopoulos.txt,All,Shoot! Shoot! Shoot!,45
S01E23 The Birth.txt,All,Help!,49
S01E23 The Birth.txt,All,"Push, push!",82
S01E23 The Birth.txt,All,Good luck!,84
S01E23 The Birth.txt,All,Yeah.,104
S07E22 Chandlers Dad.txt,All,Gay!,56
S02E03 Heckles Dies.txt,All,Yeah.,1
S07E14 They All Turn Thirty.txt,All,Rach! Come on! Rach!,3
S07E14 They All Turn Thirty.txt,All,Come on Phoebe! You can do it Phoebe! Come on!,15
S07E14 They All Turn Thirty.txt,All,Surprise!!!,49
S07E14 They All Turn Thirty.txt,All,Come on! Speech!,102
S01E02 The Sonogram At The End.txt,All,Eeaagh!,15
S01E02 The Sonogram At The End.txt,All,Yeah. Yeah. A little.,69
S04E12 The Embryos.txt,All,Oh yeah!,22
S04E12 The Embryos.txt,All,Ohhhh.,34
